participant	subject_type	task	run	roi	hemisphere	condition	y	type_of_y
sub-0000	pilot	gic	run-012	GFP	LH	Gaze	0.2730536698272398	beta_z-score
sub-0000	pilot	gic	run-012	GFP	RH	Gaze	1.2653674440247806	beta_z-score
sub-0000	pilot	gic	run-012	GazeCubes	LH	Gaze	-1.1878412143084207	beta_z-score
sub-0000	pilot	gic	run-012	GazeCubes	RH	Gaze	-0.7770960278444092	beta_z-score
sub-0000	pilot	gic	run-012	fMotionArea	LH	Gaze	0.6263349758245058	beta_z-score
sub-0000	pilot	gic	run-012	fMotionArea	RH	Gaze	0.3494866296985959	beta_z-score
sub-0000	pilot	gic	run-012	GFPalt	LH	Gaze	-0.6129965227546397	beta_z-score
sub-0000	pilot	gic	run-012	GFPalt	RH	Gaze	0.3620559411700268	beta_z-score
sub-0000	pilot	gic	run-012	Marquardt2017GFP	LH	Gaze	0.27670644397387867	beta_z-score
sub-0000	pilot	gic	run-012	Marquardt2017GFP	RH	Gaze	0.3773561578720164	beta_z-score
sub-0000	pilot	gic	run-012	GFP	LH	Cubes	1.2437680000725546	beta_z-score
sub-0000	pilot	gic	run-012	GFP	RH	Cubes	2.9424636508509905	beta_z-score
sub-0000	pilot	gic	run-012	GazeCubes	LH	Cubes	-1.1564513724015522	beta_z-score
sub-0000	pilot	gic	run-012	GazeCubes	RH	Cubes	-1.2257569856297672	beta_z-score
sub-0000	pilot	gic	run-012	fMotionArea	LH	Cubes	2.2664098586494883	beta_z-score
sub-0000	pilot	gic	run-012	fMotionArea	RH	Cubes	0.7908876323935846	beta_z-score
sub-0000	pilot	gic	run-012	GFPalt	LH	Cubes	-0.4751782579436455	beta_z-score
sub-0000	pilot	gic	run-012	GFPalt	RH	Cubes	-0.2537511841958038	beta_z-score
sub-0000	pilot	gic	run-012	Marquardt2017GFP	LH	Cubes	1.3417753303657518	beta_z-score
sub-0000	pilot	gic	run-012	Marquardt2017GFP	RH	Cubes	1.966225082041702	beta_z-score
sub-0000	pilot	gic	run-012	GFP	LH	Iris	0.4283390125078449	beta_z-score
sub-0000	pilot	gic	run-012	GFP	RH	Iris	1.4436415335247594	beta_z-score
sub-0000	pilot	gic	run-012	GazeCubes	LH	Iris	-0.7452715114334625	beta_z-score
sub-0000	pilot	gic	run-012	GazeCubes	RH	Iris	-0.3547593941668796	beta_z-score
sub-0000	pilot	gic	run-012	fMotionArea	LH	Iris	1.0677223423012434	beta_z-score
sub-0000	pilot	gic	run-012	fMotionArea	RH	Iris	0.6532619137869816	beta_z-score
sub-0000	pilot	gic	run-012	GFPalt	LH	Iris	-0.6959853302511992	beta_z-score
sub-0000	pilot	gic	run-012	GFPalt	RH	Iris	0.08181861694980948	beta_z-score
sub-0000	pilot	gic	run-012	Marquardt2017GFP	LH	Iris	0.45560588669573615	beta_z-score
sub-0000	pilot	gic	run-012	Marquardt2017GFP	RH	Iris	0.7477599901727627	beta_z-score
sub-0000	pilot	gic	run-013	GFP	LH	Gaze	0.31388095345157	beta_z-score
sub-0000	pilot	gic	run-013	GFP	RH	Gaze	1.5482621153850347	beta_z-score
sub-0000	pilot	gic	run-013	GazeCubes	LH	Gaze	0.33284955334352	beta_z-score
sub-0000	pilot	gic	run-013	GazeCubes	RH	Gaze	-0.14360842326867088	beta_z-score
sub-0000	pilot	gic	run-013	fMotionArea	LH	Gaze	0.7845504786215811	beta_z-score
sub-0000	pilot	gic	run-013	fMotionArea	RH	Gaze	0.9119985484725737	beta_z-score
sub-0000	pilot	gic	run-013	GFPalt	LH	Gaze	0.7703683093327047	beta_z-score
sub-0000	pilot	gic	run-013	GFPalt	RH	Gaze	0.7829882792837084	beta_z-score
sub-0000	pilot	gic	run-013	Marquardt2017GFP	LH	Gaze	0.5774555830189931	beta_z-score
sub-0000	pilot	gic	run-013	Marquardt2017GFP	RH	Gaze	0.8146588153526839	beta_z-score
sub-0000	pilot	gic	run-013	GFP	LH	Cubes	1.0790562651172717	beta_z-score
sub-0000	pilot	gic	run-013	GFP	RH	Cubes	3.2247789014207626	beta_z-score
sub-0000	pilot	gic	run-013	GazeCubes	LH	Cubes	-0.7068793607521657	beta_z-score
sub-0000	pilot	gic	run-013	GazeCubes	RH	Cubes	-1.3087324719715963	beta_z-score
sub-0000	pilot	gic	run-013	fMotionArea	LH	Cubes	2.183292051278497	beta_z-score
sub-0000	pilot	gic	run-013	fMotionArea	RH	Cubes	1.155544223487921	beta_z-score
sub-0000	pilot	gic	run-013	GFPalt	LH	Cubes	0.4658063972090776	beta_z-score
sub-0000	pilot	gic	run-013	GFPalt	RH	Cubes	0.48376785346620654	beta_z-score
sub-0000	pilot	gic	run-013	Marquardt2017GFP	LH	Cubes	1.290561892424801	beta_z-score
sub-0000	pilot	gic	run-013	Marquardt2017GFP	RH	Cubes	2.2904933719899225	beta_z-score
sub-0000	pilot	gic	run-013	GFP	LH	Iris	0.4399772402349027	beta_z-score
sub-0000	pilot	gic	run-013	GFP	RH	Iris	1.240490988973711	beta_z-score
sub-0000	pilot	gic	run-013	GazeCubes	LH	Iris	0.34889415916790845	beta_z-score
sub-0000	pilot	gic	run-013	GazeCubes	RH	Iris	-1.2227239483663956	beta_z-score
sub-0000	pilot	gic	run-013	fMotionArea	LH	Iris	1.1811318827226869	beta_z-score
sub-0000	pilot	gic	run-013	fMotionArea	RH	Iris	0.07880937049965986	beta_z-score
sub-0000	pilot	gic	run-013	GFPalt	LH	Iris	0.509972702128552	beta_z-score
